#      date    lon    lat    value 
 1979-01-01 263.25  20.25  15.8504 
 1979-01-01 263.75  20.25 -9.96921e+36 
 1979-01-01 264.25  20.25 -9.96921e+36 
 1979-01-01 264.75  20.25 -9.96921e+36 
 1979-01-01 265.25  20.25 -9.96921e+36 
 1979-01-01 265.75  20.25 -9.96921e+36 
 1979-01-01 266.25  20.25 -9.96921e+36 
 1979-01-01 266.75  20.25 -9.96921e+36 
 1979-01-01 267.25  20.25 -9.96921e+36 
 1979-01-01 267.75  20.25 -9.96921e+36 
 1979-01-01 268.25  20.25 -9.96921e+36 
 1979-01-01 268.75  20.25 -9.96921e+36 
 1979-01-01 269.25  20.25 -9.96921e+36 
 1979-01-01 269.75  20.25  0.32224 
 1979-01-01 270.25  20.25 0.191693 
 1979-01-01 270.75  20.25 0.103746 
 1979-01-01 271.25  20.25 0.0558419 
 1979-01-01 271.75  20.25        0 
 1979-01-01 272.25  20.25        0 
 1979-01-01 272.75  20.25        0 
 1979-01-01 273.25  20.25        0 
 1979-01-01 273.75  20.25 -9.96921e+36 
 1979-01-01 274.25  20.25 -9.96921e+36 
 1979-01-01 274.75  20.25 -9.96921e+36 
 1979-01-01 275.25  20.25 -9.96921e+36 
 1979-01-01 275.75  20.25 -9.96921e+36 
 1979-01-01 276.25  20.25 -9.96921e+36 
 1979-01-01 276.75  20.25 -9.96921e+36 
 1979-01-01 277.25  20.25 -9.96921e+36 
 1979-01-01 277.75  20.25 -9.96921e+36 
 1979-01-01 278.25  20.25 -9.96921e+36 
 1979-01-01 278.75  20.25 -9.96921e+36 
 1979-01-01 279.25  20.25 -9.96921e+36 
 1979-01-01 279.75  20.25 -9.96921e+36 
 1979-01-01 280.25  20.25 -9.96921e+36 
 1979-01-01 280.75  20.25 -9.96921e+36 
 1979-01-01 281.25  20.25 -9.96921e+36 
 1979-01-01 281.75  20.25 -9.96921e+36 
 1979-01-01 282.25  20.25   3.4542 
 1979-01-01 282.75  20.25  1.59868 
 1979-01-01 283.25  20.25  3.51901 
 1979-01-01 283.75  20.25  11.8773 
 1979-01-01 284.25  20.25  19.5411 
 1979-01-01 284.75  20.25  20.8009 
 1979-01-01 285.25  20.25  12.6629 
 1979-01-01 285.75  20.25  4.29816 
 1979-01-01 286.25  20.25 -9.96921e+36 
 1979-01-01 286.75  20.25 -9.96921e+36 
 1979-01-01 287.25  20.25  3.60769 
 1979-01-01 287.75  20.25 -9.96921e+36 
 1979-01-01 288.25  20.25 -9.96921e+36 
 1979-01-01 288.75  20.25 -9.96921e+36 
 1979-01-01 289.25  20.25 -9.96921e+36 
 1979-01-01 289.75  20.25 -9.96921e+36 
 1979-01-01 290.25  20.25 -9.96921e+36 
 1979-01-01 290.75  20.25 -9.96921e+36 
 1979-01-01 291.25  20.25 -9.96921e+36 
 1979-01-01 291.75  20.25 -9.96921e+36 
 1979-01-01 292.25  20.25 -9.96921e+36 
 1979-01-01 292.75  20.25 -9.96921e+36 
 1979-01-01 293.25  20.25 -9.96921e+36 
 1979-01-01 293.75  20.25 -9.96921e+36 
 1979-01-01 294.25  20.25 -9.96921e+36 
 1979-01-01 294.75  20.25 -9.96921e+36 
 1979-01-01 295.25  20.25 -9.96921e+36 
 1979-01-01 295.75  20.25 -9.96921e+36 
 1979-01-01 296.25  20.25 -9.96921e+36 
 1979-01-01 296.75  20.25 -9.96921e+36 
 1979-01-01 297.25  20.25 -9.96921e+36 
 1979-01-01 297.75  20.25 -9.96921e+36 
 1979-01-01 298.25  20.25 -9.96921e+36 
 1979-01-01 298.75  20.25 -9.96921e+36 
 1979-01-01 299.25  20.25 -9.96921e+36 
 1979-01-01 299.75  20.25 -9.96921e+36 
 1979-01-01 300.25  20.25 -9.96921e+36 
 1979-01-01 300.75  20.25 -9.96921e+36 
 1979-01-01 301.25  20.25 -9.96921e+36 
 1979-01-01 301.75  20.25 -9.96921e+36 
 1979-01-01 302.25  20.25 -9.96921e+36 
 1979-01-01 302.75  20.25 -9.96921e+36 
 1979-01-01 303.25  20.25 -9.96921e+36 
 1979-01-01 303.75  20.25 -9.96921e+36 
 1979-01-01 304.25  20.25 -9.96921e+36 
 1979-01-01 304.75  20.25 -9.96921e+36 
 1979-01-01 305.25  20.25 -9.96921e+36 
 1979-01-01 305.75  20.25 -9.96921e+36 
 1979-01-01 306.25  20.25 -9.96921e+36 
 1979-01-01 306.75  20.25 -9.96921e+36 
 1979-01-01 307.25  20.25 -9.96921e+36 
 1979-01-01 307.75  20.25 -9.96921e+36 
 1979-01-01 308.25  20.25 -9.96921e+36 
 1979-01-01 308.75  20.25 -9.96921e+36 
 1979-01-01 309.25  20.25 -9.96921e+36 
 1979-01-01 309.75  20.25 -9.96921e+36 
 1979-01-01 310.25  20.25 -9.96921e+36 
 1979-01-01 310.75  20.25 -9.96921e+36 
 1979-01-01 311.25  20.25 -9.96921e+36 
 1979-01-01 311.75  20.25 -9.96921e+36 
 1979-01-01 312.25  20.25 -9.96921e+36 
 1979-01-01 312.75  20.25 -9.96921e+36 
 1979-01-01 313.25  20.25 -9.96921e+36 
 1979-01-01 313.75  20.25 -9.96921e+36 
 1979-01-01 314.25  20.25 -9.96921e+36 
 1979-01-01 314.75  20.25 -9.96921e+36 
 1979-01-01 315.25  20.25 -9.96921e+36 
 1979-01-01 315.75  20.25 -9.96921e+36 
 1979-01-01 316.25  20.25 -9.96921e+36 
 1979-01-01 316.75  20.25 -9.96921e+36 
 1979-01-01 317.25  20.25 -9.96921e+36 
 1979-01-01 317.75  20.25 -9.96921e+36 
 1979-01-01 318.25  20.25 -9.96921e+36 
 1979-01-01 318.75  20.25 -9.96921e+36 
 1979-01-01 319.25  20.25 -9.96921e+36 
 1979-01-01 319.75  20.25 -9.96921e+36 
 1979-01-01 320.25  20.25 -9.96921e+36 
 1979-01-01 320.75  20.25 -9.96921e+36 
 1979-01-01 321.25  20.25 -9.96921e+36 
 1979-01-01 321.75  20.25 -9.96921e+36 
 1979-01-01 322.25  20.25 -9.96921e+36 
 1979-01-01 322.75  20.25 -9.96921e+36 
 1979-01-01 323.25  20.25 -9.96921e+36 
 1979-01-01 323.75  20.25 -9.96921e+36 
 1979-01-01 324.25  20.25 -9.96921e+36 
 1979-01-01 324.75  20.25 -9.96921e+36 
 1979-01-01 325.25  20.25 -9.96921e+36 
 1979-01-01 325.75  20.25 -9.96921e+36 
 1979-01-01 326.25  20.25 -9.96921e+36 
 1979-01-01 326.75  20.25 -9.96921e+36 
 1979-01-01 327.25  20.25 -9.96921e+36 
 1979-01-01 327.75  20.25 -9.96921e+36 
 1979-01-01 328.25  20.25 -9.96921e+36 
 1979-01-01 328.75  20.25 -9.96921e+36 
 1979-01-01 329.25  20.25 -9.96921e+36 
 1979-01-01 329.75  20.25 -9.96921e+36 
 1979-01-01 330.25  20.25 -9.96921e+36 
 1979-01-01 330.75  20.25 -9.96921e+36 
 1979-01-01 331.25  20.25 -9.96921e+36 
 1979-01-01 331.75  20.25 -9.96921e+36 
 1979-01-01 332.25  20.25 -9.96921e+36 
 1979-01-01 332.75  20.25 -9.96921e+36 
 1979-01-01 333.25  20.25 -9.96921e+36 
 1979-01-01 333.75  20.25 -9.96921e+36 
 1979-01-01 334.25  20.25 -9.96921e+36 
 1979-01-01 334.75  20.25 -9.96921e+36 
 1979-01-01 335.25  20.25 -9.96921e+36 
 1979-01-01 335.75  20.25 -9.96921e+36 
 1979-01-01 336.25  20.25 -9.96921e+36 
 1979-01-01 336.75  20.25 -9.96921e+36 
 1979-01-01 337.25  20.25 -9.96921e+36 
 1979-01-01 337.75  20.25 -9.96921e+36 
 1979-01-01 338.25  20.25 -9.96921e+36 
 1979-01-01 338.75  20.25 -9.96921e+36 
 1979-01-01 339.25  20.25 -9.96921e+36 
 1979-01-01 339.75  20.25 -9.96921e+36 
 1979-01-01 340.25  20.25 -9.96921e+36 
 1979-01-01 340.75  20.25 -9.96921e+36 
 1979-01-01 260.25  19.75        0 
 1979-01-01 260.75  19.75        0 
 1979-01-01 261.25  19.75 0.364729 
 1979-01-01 261.75  19.75  1.80833 
 1979-01-01 262.25  19.75  5.29146 
 1979-01-01 262.75  19.75  9.20953 
 1979-01-01 263.25  19.75  8.20525 
 1979-01-01 263.75  19.75  4.38681 
 1979-01-01 264.25  19.75 -9.96921e+36 
 1979-01-01 264.75  19.75 -9.96921e+36 
 1979-01-01 265.25  19.75 -9.96921e+36 
 1979-01-01 265.75  19.75 -9.96921e+36 
 1979-01-01 266.25  19.75 -9.96921e+36 
 1979-01-01 266.75  19.75 -9.96921e+36 
 1979-01-01 267.25  19.75 -9.96921e+36 
 1979-01-01 267.75  19.75 -9.96921e+36 
 1979-01-01 268.25  19.75 -9.96921e+36 
 1979-01-01 268.75  19.75 -9.96921e+36 
 1979-01-01 269.25  19.75 0.0315158 
 1979-01-01 269.75  19.75 0.162896 
 1979-01-01 270.25  19.75 0.234457 
 1979-01-01 270.75  19.75  0.11433 
 1979-01-01 271.25  19.75 0.0245619 
 1979-01-01 271.75  19.75        0 
 1979-01-01 272.25  19.75        0 
 1979-01-01 272.75  19.75        0 
 1979-01-01 273.25  19.75 -9.96921e+36 
 1979-01-01 273.75  19.75 -9.96921e+36 
 1979-01-01 274.25  19.75 -9.96921e+36 
 1979-01-01 274.75  19.75 -9.96921e+36 
 1979-01-01 275.25  19.75 -9.96921e+36 
 1979-01-01 275.75  19.75 -9.96921e+36 
 1979-01-01 276.25  19.75 -9.96921e+36 
 1979-01-01 276.75  19.75 -9.96921e+36 
 1979-01-01 277.25  19.75 -9.96921e+36 
 1979-01-01 277.75  19.75 -9.96921e+36 
 1979-01-01 278.25  19.75 -9.96921e+36 
 1979-01-01 278.75  19.75 -9.96921e+36 
 1979-01-01 279.25  19.75 -9.96921e+36 
 1979-01-01 279.75  19.75 -9.96921e+36 
 1979-01-01 280.25  19.75 -9.96921e+36 
 1979-01-01 280.75  19.75 -9.96921e+36 
 1979-01-01 281.25  19.75 -9.96921e+36 
 1979-01-01 281.75  19.75 -9.96921e+36 
 1979-01-01 282.25  19.75  1.33294 
 1979-01-01 282.75  19.75 0.446252 
 1979-01-01 283.25  19.75  3.25372 
 1979-01-01 283.75  19.75  12.3433 
 1979-01-01 284.25  19.75   20.938 
 1979-01-01 284.75  19.75  23.1564 
 1979-01-01 285.25  19.75  15.8637 
 1979-01-01 285.75  19.75 -9.96921e+36 
